year,avg_temp,10y_ma
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,
1756,8.85,
1757,9.02,
1758,6.74,
1759,7.99,
1760,7.19,
1761,8.77,7.95
1762,8.61,7.96
1763,7.5,8.02
1764,8.4,8.17
1765,8.25,8.17
1766,8.41,8.15
1767,8.22,8.16
1768,6.78,8.1
1769,7.69,7.9
1770,7.69,7.98
1771,7.85,7.96
1772,8.19,8.02
1773,8.22,7.96
1774,8.77,7.93
1775,9.18,8.04
1776,8.3,8.11
1777,8.26,8.12
1778,8.54,8.1
1779,8.98,8.13
1780,9.43,8.33
1781,8.1,8.49
1782,7.9,8.53
1783,7.68,8.53
1784,7.86,8.49
1785,7.36,8.45
1786,8.26,8.33
1787,8.03,8.24
1788,8.45,8.22
1789,8.33,8.24
1790,7.98,8.22
1791,8.23,8.13
1792,8.09,8.02
1793,8.23,8.02
1794,8.53,8.05
1795,8.35,8.12
1796,8.27,8.17
1797,8.51,8.25
1798,8.67,8.27
1799,8.51,8.33
1800,8.48,8.34
1801,8.59,8.35
1802,8.58,8.41
1803,8.5,8.44
1804,8.84,8.47
1805,8.56,8.53
1806,8.43,8.53
1807,8.28,8.54
1808,7.63,8.54
1809,7.08,8.46
1810,6.92,8.32
1811,6.86,8.17
1812,7.05,8.02
1813,7.74,7.88
1814,7.59,7.81
1815,7.24,7.73
1816,6.94,7.58
1817,6.98,7.43
1818,7.83,7.3
1819,7.37,7.26
1820,7.62,7.24
1821,8.09,7.29
1822,8.19,7.39
1823,7.72,7.51
1824,8.55,7.57
1825,8.39,7.65
1826,8.36,7.72
1827,8.81,7.82
1828,8.17,7.99
1829,7.94,8.1
1830,8.52,8.11
1831,7.64,8.21
1832,7.45,8.22
1833,8.01,8.16
1834,8.15,8.14
1835,7.39,8.18
1836,7.7,8.08
1837,7.38,8.01
1838,7.51,7.92
1839,7.63,7.81
1840,7.8,7.76
1841,7.69,7.74
1842,8.02,7.67
1843,8.17,7.7
1844,7.65,7.77
1845,7.85,7.74
1846,8.55,7.71
1847,8.09,7.81
1848,7.98,7.85
1849,7.98,7.9
1850,7.9,7.95
1851,8.18,7.97
1852,8.1,8.01
1853,8.04,8.04
1854,8.21,8.04
1855,8.11,8.05
1856,8,8.09
1857,7.76,8.1
1858,8.1,8.03
1859,8.25,8.03
1860,7.96,8.06
1861,7.85,8.06
1862,7.56,8.05
1863,8.11,7.99
1864,7.98,8
1865,8.18,7.99
1866,8.29,7.99
1867,8.44,8
1868,8.25,8.04
1869,8.43,8.09
1870,8.2,8.12
1871,8.12,8.11
1872,8.19,8.13
1873,8.35,8.16
1874,8.43,8.23
1875,7.86,8.26
1876,8.08,8.25
1877,8.54,8.24
1878,8.83,8.26
1879,8.17,8.3
1880,8.12,8.29
1881,8.27,8.26
1882,8.13,8.27
1883,7.98,8.27
1884,7.77,8.25
1885,7.92,8.2
1886,7.95,8.15
1887,7.91,8.16
1888,8.09,8.14
1889,8.32,8.1
1890,7.97,8.06
1891,8.02,8.04
1892,8.07,8.03
1893,8.06,8.01
1894,8.16,8.01
1895,8.15,8.02
1896,8.21,8.06
1897,8.29,8.08
1898,8.18,8.11
1899,8.4,8.14
1900,8.5,8.17
1901,8.54,8.18
1902,8.3,8.23
1903,8.22,8.26
1904,8.09,8.27
1905,8.23,8.28
1906,8.38,8.28
1907,7.95,8.3
1908,8.19,8.28
1909,8.18,8.27
1910,8.22,8.27
1911,8.18,8.25
1912,8.17,8.23
1913,8.3,8.19
1914,8.59,8.19
1915,8.59,8.23
1916,8.23,8.27
1917,8.02,8.27
1918,8.13,8.24
1919,8.38,8.25
1920,8.36,8.27
1921,8.57,8.29
1922,8.41,8.32
1923,8.42,8.34
1924,8.51,8.36
1925,8.53,8.38
1926,8.73,8.38
1927,8.52,8.39
1928,8.63,8.42
1929,8.24,8.47
1930,8.63,8.48
1931,8.72,8.5
1932,8.71,8.54
1933,8.34,8.55
1934,8.63,8.54
1935,8.52,8.56
1936,8.55,8.56
1937,8.7,8.57
1938,8.86,8.56
1939,8.76,8.59
1940,8.76,8.61
1941,8.77,8.65
1942,8.73,8.67
1943,8.76,8.67
1944,8.85,8.67
1945,8.58,8.72
1946,8.68,8.71
1947,8.8,8.73
1948,8.75,8.75
1949,8.59,8.75
1950,8.37,8.73
1951,8.63,8.69
1952,8.64,8.68
1953,8.87,8.67
1954,8.56,8.68
1955,8.63,8.67
1956,8.28,8.65
1957,8.73,8.62
1958,8.77,8.62
1959,8.73,8.62
1960,8.58,8.62
1961,8.8,8.62
1962,8.75,8.66
1963,8.86,8.67
1964,8.41,8.69
1965,8.53,8.65
1966,8.6,8.64
1967,8.7,8.64
1968,8.52,8.68
1969,8.6,8.66
1970,8.7,8.64
1971,8.6,8.64
1972,8.5,8.64
1973,8.95,8.62
1974,8.47,8.63
1975,8.74,8.6
1976,8.35,8.63
1977,8.85,8.61
1978,8.69,8.63
1979,8.73,8.63
1980,8.98,8.65
1981,9.17,8.69
1982,8.64,8.73
1983,9.03,8.73
1984,8.69,8.78
1985,8.66,8.76
1986,8.83,8.78
1987,8.99,8.78
1988,9.2,8.84
1989,8.92,8.87
1990,9.23,8.89
1991,9.18,8.94
1992,8.84,8.96
1993,8.87,8.93
1994,9.04,8.95
1995,9.35,8.95
1996,9.04,9.01
1997,9.2,9.04
1998,9.52,9.08
1999,9.29,9.13
2000,9.2,9.13
2001,9.41,9.16
2002,9.57,9.18
2003,9.53,9.21
2004,9.32,9.27
2005,9.7,9.32
2006,9.53,9.38
2007,9.73,9.39
2008,9.43,9.45
2009,9.51,9.48
2010,9.7,9.47
2011,9.52,9.51
2012,9.51,9.54
2013,9.61,9.55
2014,9.57,9.55
2015,9.83,9.56
